sottoinsieme,modello,rmse,dispersione,riferimento_lineare,rmse_riferimento,guadagno_cicli,guadagno_in_dispersioni
FD001,Regressione polinomiale,17.7518080339106,1.2810430151488077,Regressione lineare multipla,20.34521944370695,2.5934114097963494,2.103058781138254
FD001,Step functions,17.69189272386789,1.2043195525056984,Regressione lineare multipla,20.34521944370695,2.6533267198390575,2.222443662946568
FD001,Regression spline,17.46799754536286,1.1858140431113977,Regressione lineare multipla,20.34521944370695,2.8772218983440894,2.4288964774060546
FD001,Modello additivo generalizzato,17.462329226156385,1.2061915781068864,Regressione lineare multipla,20.34521944370695,2.882890217550564,2.412818589846751
FD003,Regressione polinomiale,16.43929677031008,1.0199972895779468,Forward stepwise selection,19.84859550183314,3.4092987315230623,2.7213163640449407
FD003,Step functions,16.095433238118655,1.080293305738448,Forward stepwise selection,19.84859550183314,3.7531622637144864,2.9371294363371243
FD003,Regression spline,15.914276053764754,1.0974651246939109,Forward stepwise selection,19.84859550183314,3.934319448068388,3.0614200156989484
FD003,Modello additivo generalizzato,15.945531144649989,1.0917546856303442,Forward stepwise selection,19.84859550183314,3.903064357183153,3.042863101915074
